"Iperzola Ponteroncariale","{'Italy': 14}"
"Huddersfield Town A.F.C.","{'Australia': 15, 'Benin': 6, 'Bermuda': 9, 'Canada': 12, 'Congo': 6, 'Denmark': 6, 'Egypt': 6, 'United Kingdom': 2, 'Greece': 2, 'Ireland': 96, 'Jamaica': 15, 'Jersey': 3, 'Jordan': 8, 'Japan': 9, 'Luxembourg': 6, 'Montserrat': 9, 'Netherlands': 6, 'Norway': 2, 'Singapore': 2, 'Slovakia': 2, 'Uganda': 6, 'United States': 6, 'England': 66, 'Scotland': 51, 'Wales': 51, 'Northern Ireland': 48, 'America': 12, 'Russia': 9}"
"FK Radnički Beograd","{'Montenegro': 30, 'Serbia': 60, 'Yugoslavia': 87}"
"SV Wacker Burghausen","{'Germany': 6}"
"Royal Antwerp F.C.","{'Belgium': 40, 'China': 6, 'Cayman Islands': 3, 'Gibraltar': 3, 'Gambia': 2, 'Ireland': 12, 'Monaco': 4, 'Mali': 6, 'Netherlands': 22, 'Oman': 2, 'Romania': 3, 'Chad': 2, 'Togo': 2, 'England': 66, 'Scotland': 6, 'Northern Ireland': 6, 'Russia': 3}"
"Gisborne City AFC","{'Spain': 4, 'Jersey': 6, 'New Zealand': 81, 'England': 6}"
"Borussia Mönchengladbach","{}"
"Livingston F.C.","{'Austria': 6, 'Brazil': 6, 'United Kingdom': 2, 'Jersey': 9, 'Liechtenstein': 4, 'Scotland': 120}"
"Newcastle Jets FC","{'Australia': 297, 'Brazil': 8, 'China': 16, 'Colombia': 2, 'Denmark': 6, 'Ecuador': 2, 'France': 6, 'Jersey': 33, 'Japan': 9, 'Korea, Republic of': 3, 'New Zealand': 12, 'Singapore': 2, 'Serbia': 2, 'England': 15, 'Wales': 36, 'South Korea': 9, 'Turkey': 3}"
"Górnik Zabrze","{'Austria': 10, 'Belgium': 2, 'Burkina Faso': 3, 'Bulgaria': 6, 'Bosnia and Herzegovina': 8, 'Switzerland': 2, 'Czechia': 1, 'Germany': 12, 'Denmark': 4, 'Spain': 2, 'Estonia': 2, 'Finland': 2, 'France': 2, 'Guinea': 2, 'Greece': 6, 'Croatia': 2, 'Hungary': 18, 'Ireland': 3, 'Italy': 4, 'Luxembourg': 2, 'Latvia': 2, 'Moldova, Republic of': 1, 'North Macedonia': 2, 'Malta': 2, 'Poland': 244, 'Slovakia': 12, 'Sweden': 2, 'Zimbabwe': 4, 'England': 27, 'Scotland': 6, 'Yugoslavia': 3, 'Turkey': 3}"
"Como Calcio","{'Australia': 3, 'Austria': 4, 'Bulgaria': 4, 'Brazil': 2, 'France': 2, 'Ghana': 2, 'Indonesia': 2, 'Ireland': 6, 'Italy': 62, 'Oman': 2, 'Northern Ireland': 3}"
"Shanghai Shenhua F.C.","{'Argentina': 8, 'Australia': 6, 'Bulgaria': 2, 'Brazil': 8, 'China': 184, 'Congo': 2, 'Colombia': 4, 'Spain': 14, 'France': 6, 'Greenland': 69, 'Croatia': 2, 'Indonesia': 2, 'Korea, Republic of': 1, 'Poland': 2, 'Singapore': 2, 'Serbia': 4, 'Thailand': 2, 'Uruguay': 2, 'Viet Nam': 1, 'England': 9, 'South Korea': 3, 'Russia': 15}"
"FC Metalist Kharkiv","{'Austria': 10, 'Cyprus': 2, 'Germany': 2, 'Croatia': 4, 'India': 4, 'Jersey': 3, 'Netherlands': 2, 'Oman': 18, 'Portugal': 8, 'Senegal': 2, 'Serbia': 4, 'Ukraine': 246, 'England': 3, 'Yugoslavia': 6, 'Turkey': 6, 'Russia': 12}"
"SKA Rostov","{'Russia': 69}"
"Niki Volos F.C.","{'Bulgaria': 2, 'Greece': 72, 'India': 2, 'Iran, Islamic Republic of': 1, 'Kazakhstan': 2}"
"NK Borac Zagreb","{}"
"SK Sifhälla","{}"
"AS Bari","{'Andorra': 4, 'Brazil': 2, 'France': 28, 'Italy': 14, 'Malaysia': 6}"
"Vitoria SC","{'Belgium': 6, 'Switzerland': 2, 'Germany': 4, 'Denmark': 2, 'Spain': 12, 'France': 4, 'Croatia': 2, 'Hungary': 3, 'Italy': 4, 'Macao': 4, 'Netherlands': 6, 'Poland': 2, 'Portugal': 64, 'Slovakia': 4, 'Chad': 20, 'England': 15, 'Scotland': 6, 'Turkey': 6, 'Russia': 12}"
"Banatul Timișoara","{'Oman': 38, 'Romania': 54}"
"Újpest FC","{'Belgium': 8, 'Colombia': 2, 'Spain': 2, 'Hungary': 54, 'Iran, Islamic Republic of': 2, 'North Macedonia': 2, 'Mali': 4, 'Montenegro': 3, 'Niger': 4, 'Nigeria': 4, 'Senegal': 2, 'Serbia': 8, 'England': 3, 'America': 3}"
"Basáñez","{'Uruguay': 32}"
"FC Spartak Trnava","{'Austria': 16, 'Cameroon': 2, 'Costa Rica': 2, 'Czechia': 2, 'Georgia': 6, 'Greece': 4, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Mali': 2, 'Norway': 2, 'Oman': 4, 'Portugal': 2, 'Suriname': 2, 'Slovakia': 38, 'England': 3}"
"FC Krylya Sovetov Moscow","{}"
"Perth Glory FC","{'Australia': 501, 'Brazil': 8, 'Switzerland': 2, 'China': 8, 'Germany': 2, 'Spain': 4, 'United Kingdom': 2, 'Greece': 10, 'Greenland': 6, 'Croatia': 6, 'Ireland': 15, 'Iran, Islamic Republic of': 7, 'Jersey': 12, 'Mali': 4, 'Niger': 2, 'Nigeria': 2, 'New Zealand': 6, 'Oman': 2, 'Qatar': 4, 'Romania': 3, 'Singapore': 8, 'Serbia': 8, 'Chad': 8, 'England': 21, 'Scotland': 3, 'Northern Ireland': 6}"
"NK Čelik Zenica","{'Bosnia and Herzegovina': 184, 'Italy': 2, 'Yugoslavia': 6}"
"Al-Hilal FC","{'United Arab Emirates': 3, 'Australia': 12, 'Bangladesh': 2, 'Bahrain': 2, 'Brazil': 8, 'China': 2, 'Colombia': 2, 'Egypt': 2, 'France': 2, 'India': 4, 'Iran, Islamic Republic of': 6, 'Iraq': 2, 'Japan': 9, 'Kazakhstan': 2, 'Korea, Republic of': 3, 'Kuwait': 8, 'Lebanon': 2, 'Morocco': 2, 'Oman': 4, 'Korea, Democratic People\'s Republic of': 1, 'Qatar': 6, 'Saudi Arabia': 66, 'Syrian Arab Republic': 2, 'Thailand': 2, 'Tajikistan': 2, 'Turkmenistan': 3, 'Uzbekistan': 2, 'Yemen': 2, 'Zambia': 2, 'South Korea': 9, 'North Korea': 3, 'Russia': 9}"
"Red Star F.C.","{'Argentina': 10, 'Algeria': 6, 'France': 148, 'Ghana': 6, 'Haiti': 2, 'Jordan': 2, 'Madagascar': 2, 'Mali': 4, 'Oman': 2, 'Portugal': 2, 'Paraguay': 2, 'Senegal': 2, 'Slovakia': 2, 'Sweden': 2, 'America': 9, 'Yugoslavia': 3}"
"Sud América","{'Argentina': 10, 'Oman': 4, 'Paraguay': 10, 'Uruguay': 112, 'America': 15}"
"A.S. Roma","{'Albania': 2, 'Argentina': 14, 'Bosnia and Herzegovina': 2, 'Czechia': 2, 'Germany': 2, 'Spain': 6, 'France': 70, 'Greece': 4, 'Hungary': 18, 'Iran, Islamic Republic of': 1, 'Italy': 210, 'Oman': 42, 'Portugal': 6, 'Qatar': 8, 'Sweden': 12, 'Uruguay': 2, 'United States': 4, 'England': 18, 'America': 15, 'Yugoslavia': 3, 'Russia': 3}"
"Ready (sports club)","{'Norway': 26, 'Philippines': 2}"
"Vittjärvs IK","{'Sweden': 20}"
"Los Angeles Aztecs","{'Argentina': 2, 'Brazil': 4, 'Spain': 4, 'Jersey': 6, 'Mexico': 2, 'Netherlands': 4, 'Oman': 4, 'Trinidad and Tobago': 2, 'Uruguay': 4, 'United States': 4, 'England': 24, 'America': 147}"
"Shabab Al Ahli Club","{'United Arab Emirates': 15, 'Egypt': 2, 'Spain': 6, 'Iran, Islamic Republic of': 1, 'Mali': 2, 'Oman': 2, 'Romania': 3, 'Chad': 2}"
"A.F.C. Euro Kickers","{'Panama': 38}"
"Atlético Madrid","{'Argentina': 6, 'Austria': 4, 'Azerbaijan': 14, 'Brazil': 2, 'Czechia': 2, 'Germany': 4, 'Denmark': 2, 'Spain': 32, 'France': 4, 'United Kingdom': 12, 'India': 22, 'Iran, Islamic Republic of': 5, 'Israel': 24, 'Italy': 4, 'Jersey': 3, 'Monaco': 4, 'Moldova, Republic of': 1, 'Mexico': 2, 'Oman': 8, 'Pakistan': 14, 'Portugal': 6, 'Romania': 12, 'Singapore': 2, 'Uruguay': 4, 'United States': 8, 'England': 9, 'America': 3, 'Turkey': 3, 'Russia': 9}"
"Hannover 96","{'Austria': 4, 'Bosnia and Herzegovina': 2, 'Chile': 6, 'Czechia': 1, 'Germany': 150, 'Denmark': 2, 'Croatia': 2, 'Hungary': 3, 'Jersey': 6, 'Portugal': 2, 'Samoa': 2, 'England': 3, 'Yugoslavia': 9, 'Turkey': 6, 'Russia': 12}"
"Troyes AC","{'Germany': 2, 'Spain': 2, 'France': 28, 'Georgia': 9, 'Ireland': 3, 'Monaco': 6, 'Netherlands': 2, 'Slovakia': 4, 'Sweden': 2, 'England': 3, 'Northern Ireland': 3, 'Yugoslavia': 3}"
"Valenciennes FC","{'Argentina': 2, 'Austria': 2, 'Belgium': 2, 'Bosnia and Herzegovina': 4, 'Cameroon': 6, 'Congo': 2, 'Colombia': 2, 'Algeria': 2, 'France': 168, 'Hungary': 3, 'Ireland': 3, 'Jordan': 2, 'Mali': 2, 'New Caledonia': 3, 'Netherlands': 2, 'Poland': 8, 'Serbia': 2, 'England': 9, 'Russia': 6}"
"FC Dallas","{'Brazil': 2, 'Colombia': 8, 'Spain': 2, 'Guatemala': 8, 'Indonesia': 2, 'Ireland': 12, 'Jersey': 57, 'Mexico': 6, 'Mali': 2, 'El Salvador': 2, 'United States': 16, 'England': 3, 'Northern Ireland': 12, 'America': 24}"
"1. FC Köln II","{'Germany': 2, 'Oman': 2}"
"Reggina 1914","{'France': 22, 'Italy': 12, 'Peru': 4}"
"Spezia Calcio","{'Australia': 3, 'France': 6, 'Croatia': 2, 'India': 6, 'Italy': 36, 'Jersey': 6, 'Malta': 2, 'Niger': 2, 'Nigeria': 2, 'America': 3}"
"FC Nantes","{'Argentina': 22, 'Armenia': 8, 'Belgium': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 6, 'Cameroon': 2, 'Colombia': 2, 'Germany': 10, 'Algeria': 2, 'Spain': 2, 'France': 184, 'Croatia': 2, 'Italy': 2, 'Jordan': 2, 'Japan': 6, 'Morocco': 4, 'Monaco': 2, 'Moldova, Republic of': 1, 'Niger': 4, 'Nigeria': 4, 'Oman': 6, 'Poland': 4, 'Portugal': 4, 'Romania': 6, 'Serbia': 2, 'Slovakia': 4, 'Chad': 6, 'Tunisia': 4, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 3, 'Scotland': 3}"
"Sivasspor","{'Oman': 2, 'Turkey': 39}"
"Atlético Rio Negro Clube","{'Brazil': 14}"
"Olympique Lyonnais Reserves and Academy","{'Germany': 2, 'Spain': 2, 'France': 30, 'Italy': 2, 'Jordan': 8, 'Mali': 2, 'Oman': 2, 'England': 3}"
"Kickers Offenbach","{'Germany': 12}"
"BV Veendam","{'Belgium': 2, 'Netherlands': 54}"
"Carmen București{{ref","{}"
"MC El Eulma","{'Switzerland': 2, 'Cameroon': 2, 'Algeria': 38, 'France': 6}"
"Vancouver Whitecaps FC","{'Brazil': 4, 'Canada': 93, 'Cuba': 2, 'Iceland': 4, 'Jersey': 36, 'Jordan': 4, 'Oman': 2, 'United States': 8, 'England': 9, 'America': 15}"
"USM El Harrach","{'Algeria': 34}"
"FC Hradec Králové","{'Austria': 2, 'Czechia': 5, 'Hungary': 3, 'Slovakia': 4}"
"C.D. Veracruz","{'Argentina': 16, 'Bolivia, Plurinational State of': 1, 'Brazil': 8, 'Chile': 6, 'China': 2, 'Colombia': 2, 'Spain': 2, 'Israel': 2, 'Jersey': 9, 'Mexico': 86, 'Oman': 6, 'Peru': 4, 'Romania': 6, 'Uruguay': 12, 'Yugoslavia': 3}"
"Teniente Fariña","{}"
"Colón de Santa Fe","{'Argentina': 100, 'Chile': 4, 'Paraguay': 2, 'Uruguay': 6, 'America': 27}"
"R. Antwerp F.C.","{'Belgium': 40, 'China': 6, 'Cayman Islands': 3, 'Gibraltar': 3, 'Gambia': 2, 'Ireland': 12, 'Monaco': 4, 'Mali': 6, 'Netherlands': 22, 'Oman': 2, 'Romania': 3, 'Chad': 2, 'Togo': 2, 'England': 66, 'Scotland': 6, 'Northern Ireland': 6, 'Russia': 3}"
"Delfino Pescara 1936","{'Czechia': 2, 'France': 14, 'Hungary': 3, 'Italy': 222, 'Oman': 4, 'Yugoslavia': 9}"
"Atlético Saquisilí","{}"
"GNK Dinamo Zagreb Academy","{'Croatia': 80}"
"Linfield F.C.","{'Azerbaijan': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 4, 'Switzerland': 2, 'Germany': 2, 'Faroe Islands': 9, 'Georgia': 9, 'Greece': 4, 'Ireland': 285, 'Iran, Islamic Republic of': 1, 'Jersey': 3, 'Jordan': 4, 'Liechtenstein': 2, 'Luxembourg': 2, 'Montenegro': 3, 'Netherlands': 6, 'Norway': 4, 'Oman': 2, 'Sweden': 2, 'England': 3, 'Scotland': 6, 'Wales': 9, 'Northern Ireland': 222}"
"Ascoli Picchio F.C. 1898","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"Gençlerbirliği S.K.","{'Oman': 6, 'Peru': 2, 'Portugal': 2, 'Turkey': 27}"
"Veria F.C.","{'Bulgaria': 4, 'Bosnia and Herzegovina': 2, 'Brazil': 4, 'Comoros': 2, 'Czechia': 1, 'Algeria': 2, 'Spain': 4, 'France': 2, 'Georgia': 39, 'Greece': 304, 'Lao People\'s Democratic Republic': 4, 'Norway': 2, 'Oman': 6, 'Poland': 2, 'Romania': 9, 'Serbia': 12, 'Slovakia': 2, 'Ukraine': 3, 'South Africa': 4, 'America': 3, 'Yugoslavia': 18}"
"RCD Mallorca","{'Argentina': 4, 'Chile': 2, 'Cameroon': 4, 'Czechia': 1, 'Spain': 32, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Italy': 2, 'Morocco': 2, 'Norway': 2, 'Portugal': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 2, 'America': 3, 'Yugoslavia': 3}"
"Tampa Bay Rowdies (1975-93)","{'Australia': 6, 'Bermuda': 3, 'Canada': 18, 'Chile': 2, 'Haiti': 4, 'Iran, Islamic Republic of': 4, 'Jersey': 57, 'Netherlands': 6, 'Oman': 4, 'United States': 10, 'South Africa': 8, 'England': 12, 'America': 249, 'Yugoslavia': 3}"
"Royal Antwerp FC","{'Belgium': 40, 'China': 6, 'Cayman Islands': 3, 'Gibraltar': 3, 'Gambia': 2, 'Ireland': 12, 'Monaco': 4, 'Mali': 6, 'Netherlands': 22, 'Oman': 2, 'Romania': 3, 'Chad': 2, 'Togo': 2, 'England': 66, 'Scotland': 6, 'Northern Ireland': 6, 'Russia': 3}"
"Derby County F.C.","{'Argentina': 4, 'United Kingdom': 4, 'Ireland': 24, 'Iran, Islamic Republic of': 4, 'Mexico': 4, 'United States': 2, 'England': 102, 'Scotland': 15, 'Wales': 6, 'Northern Ireland': 12}"
"RC Lens","{'Azerbaijan': 2, 'Brazil': 2, 'Cameroon': 2, 'Germany': 2, 'Spain': 2, 'France': 70, 'Netherlands': 2, 'Chad': 2}"
"Gold Coast United FC","{'Australia': 153, 'Brazil': 2, 'Eritrea': 12, 'Israel': 2, 'Jersey': 3, 'Malta': 6, 'New Zealand': 18, 'Vanuatu': 6, 'England': 6, 'Scotland': 6, 'Wales': 3, 'America': 6}"
"FC Metz","{'Argentina': 2, 'Belgium': 2, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Cameroon': 6, 'Colombia': 4, 'Germany': 6, 'France': 76, 'Ghana': 4, 'Hungary': 3, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Japan': 3, 'Korea, Republic of': 1, 'Luxembourg': 10, 'Morocco': 2, 'Mali': 4, 'Peru': 2, 'Poland': 6, 'Portugal': 2, 'Senegal': 6, 'Togo': 4, 'United States': 2, 'Scotland': 3, 'Yugoslavia': 6, 'South Korea': 3, 'Russia': 3}"
"Chicago Fire U-23","{'India': 16, 'Iran, Islamic Republic of': 1, 'Jersey': 3, 'United States': 4, 'America': 30}"
"Pas Tehran F.C.","{'Bahrain': 6, 'Brazil': 2, 'India': 26, 'Iran, Islamic Republic of': 34, 'Iraq': 2, 'Japan': 3, 'Lebanon': 2, 'Oman': 4, 'Qatar': 4, 'Saudi Arabia': 6, 'Thailand': 2}"
"Kuşadasıspor","{'Turkey': 3}"
"San Diego Sockers (1978-1996)","{'Canada': 3, 'Ireland': 3, 'Jersey': 3, 'United States': 4, 'England': 3, 'Northern Ireland': 3, 'America': 81}"
"Malatyaspor","{'Turkey': 9}"
"Shandong Luneng","{'Brazil': 8, 'China': 212, 'Cameroon': 4, 'Greenland': 9, 'Croatia': 4, 'Japan': 3, 'Korea, Republic of': 2, 'Uruguay': 4, 'Yugoslavia': 9, 'South Korea': 6, 'Russia': 6}"
"Barnet F.C.","{'Australia': 3, 'Brazil': 2, 'Chile': 2, 'Egypt': 2, 'United Kingdom': 2, 'Hong Kong': 2, 'Ireland': 6, 'Jordan': 6, 'Monaco': 2, 'Netherlands': 8, 'South Africa': 2, 'England': 222, 'Scotland': 6, 'Northern Ireland': 3}"
"Seiko (football)","{'Argentina': 2, 'Brazil': 2, 'China': 2, 'Germany': 2, 'Hong Kong': 110, 'Korea, Republic of': 1, 'Netherlands': 2, 'Korea, Democratic People\'s Republic of': 1, 'Saudi Arabia': 2, 'South Korea': 3, 'North Korea': 3}"
"Atlético Madrid B","{'Albania': 2, 'Andorra': 2, 'Argentina': 4, 'Brazil': 4, 'Chile': 2, 'China': 2, 'Cameroon': 6, 'Congo': 3, 'Dominica': 2, 'Dominican Republic': 3, 'Spain': 142, 'France': 4, 'Ghana': 4, 'Guinea': 6, 'Equatorial Guinea': 4, 'Haiti': 2, 'Morocco': 2, 'Philippines': 2, 'Portugal': 4, 'Paraguay': 4, 'Senegal': 4, 'Serbia': 6, 'Chad': 2, 'Tunisia': 2, 'Uruguay': 4, 'South Africa': 2}"
"FC Shakhtar Donetsk","{'Armenia': 10, 'Belarus': 2, 'Brazil': 20, 'China': 2, 'Germany': 2, 'United Kingdom': 2, 'Georgia': 3, 'Croatia': 2, 'India': 4, 'Jersey': 6, 'Kazakhstan': 2, 'Monaco': 2, 'Oman': 30, 'Romania': 18, 'Ukraine': 126, 'Russia': 27}"
"U.F.C.I. Tomar","{'Portugal': 6}"
"Galícia Esporte Clube","{'Brazil': 20, 'Spain': 4}"
"Vancouver Whitecaps (NASL)","{'Canada': 9, 'Jersey': 12, 'America': 171}"
"FC Ripensia Timișoara","{'Austria': 2, 'Hungary': 18, 'Italy': 6, 'Oman': 76, 'Romania': 114}"
"Club Brugge K.V.","{'Austria': 2, 'Belgium': 104, 'Netherlands': 4, 'Oman': 2, 'England': 6}"
"Milwaukee Rampage","{'United States': 4, 'America': 6}"
"Sociedade Esportiva e Recreativa Perdigão","{}"
"Rodez AF","{'France': 10}"
"Romania Cluj","{'Oman': 20, 'Romania': 30}"
"ACF Fiorentina","{'Argentina': 6, 'Austria': 4, 'Brazil': 6, 'Chile': 6, 'Spain': 2, 'France': 10, 'Hungary': 27, 'Italy': 192, 'Jersey': 3, 'Morocco': 2, 'Peru': 4, 'Portugal': 2, 'Serbia': 2, 'Sweden': 4, 'Uruguay': 2, 'America': 3, 'Turkey': 3}"
"Warrington Town F.C.","{'Jordan': 2, 'England': 15}"
"U.D. Leiria","{'Angola': 2, 'Belarus': 2, 'Switzerland': 4, 'France': 6, 'Croatia': 4, 'Jordan': 2, 'Moldova, Republic of': 1, 'Portugal': 108}"
"FC Swarovski Tirol","{'Austria': 52, 'Germany': 2, 'Portugal': 2}"
"Sheffield Wednesday F.C.","{'Australia': 3, 'Chile': 2, 'Germany': 4, 'Ireland': 9, 'Luxembourg': 4, 'Mali': 4, 'New Zealand': 3, 'Oman': 4, 'England': 72, 'Scotland': 12, 'Wales': 3, 'Northern Ireland': 9}"
"Policial de Durazno","{}"
"FK Austria Wien","{'Albania': 6, 'Austria': 408, 'Azerbaijan': 2, 'Belgium': 12, 'Bulgaria': 6, 'Belarus': 2, 'Cyprus': 2, 'Czechia': 3, 'Germany': 34, 'Denmark': 8, 'Spain': 22, 'Finland': 2, 'France': 12, 'Georgia': 9, 'Greece': 6, 'Croatia': 4, 'Hungary': 6, 'Iran, Islamic Republic of': 3, 'Iceland': 4, 'Italy': 10, 'Kazakhstan': 2, 'Luxembourg': 4, 'Monaco': 6, 'Malta': 2, 'Montenegro': 3, 'Netherlands': 8, 'Norway': 8, 'Oman': 10, 'Poland': 14, 'Portugal': 8, 'Romania': 12, 'Serbia': 2, 'Slovakia': 6, 'Slovenia': 6, 'Sweden': 6, 'Ukraine': 12, 'England': 30, 'Scotland': 9, 'Wales': 3, 'Yugoslavia': 3, 'Turkey': 6, 'Russia': 6}"
"Al-Ittihad Club (Jeddah)","{'United Arab Emirates': 3, 'Argentina': 24, 'Australia': 6, 'Austria': 2, 'Belgium': 14, 'Bahrain': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 98, 'Chile': 18, 'China': 10, 'Cameroon': 4, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 4, 'Algeria': 4, 'Egypt': 28, 'Spain': 12, 'France': 8, 'Georgia': 3, 'Ghana': 14, 'Guinea': 6, 'Croatia': 22, 'Hungary': 12, 'Iran, Islamic Republic of': 10, 'Iraq': 2, 'Italy': 6, 'Jordan': 2, 'Japan': 18, 'Korea, Republic of': 7, 'Kuwait': 12, 'Lebanon': 2, 'Morocco': 4, 'Monaco': 6, 'Mexico': 2, 'Mali': 4, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 6, 'Oman': 28, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Qatar': 20, 'Romania': 33, 'Saudi Arabia': 258, 'Sierra Leone': 4, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Syrian Arab Republic': 2, 'Tunisia': 20, 'Uruguay': 4, 'Uzbekistan': 16, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 9, 'America': 3, 'Yugoslavia': 3, 'South Korea': 21, 'Russia': 6}"
"K. Beringen-Heusden-Zolder","{'Belgium': 10}"
"Northampton Town F.C.","{'United Kingdom': 4, 'Ireland': 3, 'Jordan': 4, 'Netherlands': 2, 'England': 33, 'Scotland': 6}"
"AO Kavala","{'Bulgaria': 2, 'Brazil': 2, 'Canada': 3, 'Greece': 132, 'North Macedonia': 4, 'Niger': 2, 'Nigeria': 2, 'Poland': 6, 'Serbia': 4}"
"Jabaquara Atlético Clube","{'Brazil': 16}"
"Stoke City F.C.","{'Australia': 3, 'Austria': 2, 'Canada': 3, 'United Kingdom': 8, 'Isle of Man': 15, 'Ireland': 6, 'Iceland': 10, 'Jordan': 14, 'United States': 2, 'England': 42, 'Wales': 3, 'Northern Ireland': 6, 'America': 9, 'Russia': 3}"
"CE Manresa","{'Congo': 10, 'Cuba': 2, 'Spain': 14, 'Guinea': 2, 'Equatorial Guinea': 2, 'Philippines': 2}"
"A.D. Guanacasteca","{'Canada': 3, 'Costa Rica': 32, 'Liberia': 4, 'Peru': 4}"
"Cobreloa B","{}"
"K.A.S. Eupen","{'Belgium': 14, 'Switzerland': 2, 'Germany': 2, 'Italy': 2, 'Mali': 8, 'Qatar': 10, 'America': 3}"
"FK Drnovice","{'Switzerland': 4, 'Czechia': 8, 'Slovakia': 6}"
"Venados F.C.","{'Argentina': 8, 'Iran, Islamic Republic of': 2, 'Mexico': 28, 'El Salvador': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1}"
"Liga de Quito","{'Argentina': 4, 'Brazil': 18, 'Chile': 6, 'Colombia': 2, 'Ecuador': 126, 'Jersey': 9, 'Japan': 3, 'Paraguay': 4, 'Uruguay': 6, 'America': 144}"
"Club Atlético Piraña","{'Argentina': 6, 'Iran, Islamic Republic of': 9, 'Italy': 2, 'Jersey': 6, 'America': 3}"
"Ascoli Calcio","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"Kilikia F.C.","{'Armenia': 50}"
"Toulouse FC","{'France': 36, 'Jersey': 6, 'Jordan': 2}"
"Bangu Atlético Clube","{'Argentina': 2, 'Brazil': 106, 'Israel': 2, 'Macao': 4, 'Uruguay': 4, 'Viet Nam': 1, 'America': 9}"
"Asante Kotoko SC","{'Belgium': 2, 'Cameroon': 2, 'Germany': 6, 'Egypt': 6, 'United Kingdom': 4, 'Ghana': 326, 'Croatia': 2, 'Hungary': 3, 'Jersey': 3, 'Jordan': 8, 'Mali': 18, 'Norway': 2, 'Singapore': 12, 'Serbia': 2, 'Samoa': 6, 'Turkey': 3}"
"Hertha Zehlendorf","{'Germany': 22, 'Mali': 2, 'Turkey': 6, 'Russia': 3}"
"Ascoli Calcio 1898 FC","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"Farnborough F.C.","{'Jordan': 2, 'England': 12}"
"Maidstone United F.C. (1897)","{'England': 27}"
"C.D. ESPOLI","{'Ecuador': 62, 'Paraguay': 2}"
"R. Charleroi S.C.","{'Austria': 4, 'Belgium': 56, 'Germany': 8, 'Denmark': 2, 'Finland': 2, 'France': 4, 'Croatia': 12, 'Hungary': 9, 'Israel': 4, 'Morocco': 4, 'Netherlands': 2, 'Oman': 2, 'Peru': 10, 'Poland': 4, 'Romania': 3, 'Serbia': 2, 'Slovakia': 4, 'Ukraine': 3, 'England': 15, 'Scotland': 6, 'Wales': 3, 'Turkey': 3}"
"FC Laufen","{'Switzerland': 14}"
"Walsall F.C.","{'Afghanistan': 2, 'Argentina': 2, 'Bermuda': 6, 'Canada': 3, 'Cyprus': 4, 'France': 2, 'Guyana': 6, 'Hungary': 3, 'Ireland': 54, 'Jamaica': 9, 'Saint Kitts and Nevis': 6, 'Montserrat': 6, 'Netherlands': 2, 'New Zealand': 3, 'Philippines': 2, 'Portugal': 2, 'Sierra Leone': 2, 'Trinidad and Tobago': 6, 'England': 135, 'Scotland': 18, 'Wales': 12, 'Northern Ireland': 18, 'America': 6}"
"Union Weißkirchen","{}"
"Fall River F.C.","{'United States': 2, 'America': 33}"
"CS Sedan Ardennes","{'Bosnia and Herzegovina': 2, 'Cameroon': 6, 'Algeria': 6, 'France': 42, 'Oman': 2, 'Senegal': 4, 'Slovenia': 2}"
"Toronto City","{'Canada': 15, 'Ireland': 9, 'United States': 2, 'England': 9, 'Scotland': 12, 'Northern Ireland': 9, 'America': 12}"
"Clube Atlético Juventus","{'Brazil': 24, 'Italy': 2, 'America': 3}"
"OFC Sliven 2000","{'Bulgaria': 94, 'Germany': 2, 'Italy': 2, 'Oman': 2, 'Serbia': 2, 'Yugoslavia': 3}"
"Chesterfield F.C.","{'United Kingdom': 2, 'Ireland': 12, 'Chad': 2, 'England': 135, 'Scotland': 18, 'Wales': 3, 'Northern Ireland': 6}"
