"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"Shimizu S-Pulse","{'Argentina': 2, 'Australia': 9, 'Bosnia and Herzegovina': 2, 'Brazil': 58, 'Spain': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 2, 'Italy': 2, 'Jersey': 9, 'Japan': 216, 'Korea, Republic of': 1, 'Montenegro': 3, 'Norway': 2, 'Slovenia': 2, 'Sweden': 2, 'Togo': 2, 'Thailand': 2, 'England': 3, 'Wales': 3, 'South Korea': 3}"
"New York Cosmos (2010)","{'Argentina': 2, 'Brazil': 2, 'China': 14, 'Cuba': 10, 'Italy': 2, 'Jersey': 15, 'Jordan': 2, 'Mali': 2, 'Montenegro': 3, 'Norway': 2, 'Saudi Arabia': 8, 'United States': 20, 'Venezuela, Bolivarian Republic of': 3, 'England': 3, 'America': 153}"
"Calcio Catania","{'Australia': 3, 'Brazil': 2, 'France': 12, 'Italy': 16, 'Monaco': 2, 'Mali': 2, 'United States': 2, 'America': 3}"
"Municipal Goicoechea","{}"
"CD Los Boliches","{'Spain': 8}"
"Defensor Sporting","{'Argentina': 4, 'Peru': 2, 'Uruguay': 132, 'America': 30}"
"Júbilo Iwata","{'Brazil': 22, 'Spain': 2, 'Greece': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Japan': 315, 'Korea, Republic of': 10, 'Netherlands': 12, 'Oman': 6, 'Paraguay': 4, 'Saudi Arabia': 2, 'Senegal': 2, 'Serbia': 2, 'England': 3, 'America': 3, 'South Korea': 30}"
"Bayer 04 Leverkusen","{'Austria': 2, 'Brazil': 10, 'Switzerland': 6, 'Germany': 124, 'Spain': 2, 'Finland': 2, 'Jersey': 9, 'Montenegro': 3, 'Netherlands': 4, 'Serbia': 2, 'Yugoslavia': 3, 'Turkey': 3}"
"Hellenic F.C.","{'Australia': 3, 'Serbia': 2, 'South Africa': 26, 'Zimbabwe': 2, 'England': 6}"
"Home Farm F.C.","{'France': 2, 'United Kingdom': 2, 'Gibraltar': 3, 'Ireland': 447, 'Jersey': 3, 'Norway': 4, 'England': 6, 'Scotland': 6}"
"AS Saint-Étienne","{'Austria': 4, 'Brazil': 2, 'Switzerland': 2, 'Cameroon': 2, 'Algeria': 2, 'France': 82, 'Mali': 4, 'Scotland': 6, 'Yugoslavia': 3}"
"Rail Douala","{}"
"FC Kryvbas Kryvyi Rih (1959-2013)","{'Jersey': 3, 'Ukraine': 72}"
"ŠK Slovan Bratislava","{'Argentina': 2, 'Austria': 4, 'Chile': 2, 'Germany': 2, 'Guinea': 2, 'Hungary': 3, 'Mexico': 2, 'Netherlands': 2, 'Oman': 4, 'Slovakia': 59}"
"Tottenham Hotspur","{'Argentina': 4, 'Brazil': 12, 'Canada': 9, 'Switzerland': 2, 'China': 4, 'Germany': 4, 'France': 2, 'United Kingdom': 6, 'Hong Kong': 2, 'India': 16, 'Ireland': 9, 'Israel': 4, 'Jersey': 24, 'Korea, Republic of': 1, 'Oman': 4, 'South Africa': 6, 'England': 168, 'Scotland': 18, 'Wales': 15, 'Northern Ireland': 6, 'South Korea': 3}"
"Al-Ittihad (Jeddah)","{'United Arab Emirates': 3, 'Argentina': 24, 'Australia': 6, 'Austria': 2, 'Belgium': 14, 'Bahrain': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 98, 'Chile': 18, 'China': 10, 'Cameroon': 4, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 4, 'Algeria': 4, 'Egypt': 28, 'Spain': 12, 'France': 8, 'Georgia': 3, 'Ghana': 14, 'Guinea': 6, 'Croatia': 22, 'Hungary': 12, 'Iran, Islamic Republic of': 10, 'Iraq': 2, 'Italy': 6, 'Jordan': 2, 'Japan': 18, 'Korea, Republic of': 7, 'Kuwait': 12, 'Lebanon': 2, 'Morocco': 4, 'Monaco': 6, 'Mexico': 2, 'Mali': 2, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 6, 'Oman': 28, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Qatar': 20, 'Romania': 33, 'Saudi Arabia': 258, 'Sierra Leone': 4, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Syrian Arab Republic': 2, 'Tunisia': 20, 'Uruguay': 4, 'Uzbekistan': 16, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 9, 'America': 3, 'Yugoslavia': 3, 'South Korea': 21}"
"Buffalo Stalions","{}"
"Perth SC","{'Australia': 45, 'Jordan': 2}"
"Red Star F.C.","{'Argentina': 10, 'Algeria': 6, 'France': 148, 'Ghana': 6, 'Haiti': 2, 'Jordan': 2, 'Madagascar': 2, 'Mali': 4, 'Oman': 2, 'Portugal': 2, 'Paraguay': 2, 'Senegal': 2, 'Slovakia': 2, 'Sweden': 2, 'America': 9, 'Yugoslavia': 3}"
"FC Dynamo Kyiv","{'Andorra': 2, 'Austria': 2, 'Azerbaijan': 2, 'Belarus': 6, 'Switzerland': 2, 'Cyprus': 2, 'Spain': 2, 'France': 8, 'United Kingdom': 2, 'Hungary': 3, 'Iran, Islamic Republic of': 1, 'Monaco': 4, 'Oman': 16, 'Poland': 2, 'Romania': 6, 'Ukraine': 201, 'Virgin Islands, British': 1, 'America': 3}"
"Sparta Rotterdam","{'Belgium': 8, 'Bulgaria': 2, 'Switzerland': 4, 'Germany': 4, 'United Kingdom': 2, 'Iceland': 2, 'Jersey': 6, 'Malta': 2, 'Netherlands': 44, 'Chad': 4, 'England': 6, 'Yugoslavia': 3}"
"Whitby Town F.C.","{'Ireland': 3, 'England': 63, 'Northern Ireland': 3}"
"FK Voždovac","{'Montenegro': 9, 'Serbia': 48, 'Yugoslavia': 6}"
"Górnik Wałbrzych","{'Switzerland': 2, 'Oman': 2, 'Poland': 12}"
"RC Paris","{'Austria': 2, 'Germany': 2, 'Algeria': 4, 'France': 148, 'Hungary': 3, 'Iceland': 2, 'Jersey': 3, 'Jordan': 4, 'Morocco': 6, 'Netherlands': 2, 'Uruguay': 2, 'Yugoslavia': 3, 'Turkey': 6}"
"Rodez AF","{'France': 10}"
"ACF Gloria Bistrița","{'Albania': 6, 'Bulgaria': 4, 'Switzerland': 4, 'Cyprus': 6, 'Spain': 8, 'Finland': 6, 'France': 8, 'Croatia': 4, 'Israel': 6, 'Italy': 10, 'Luxembourg': 10, 'Moldova, Republic of': 2, 'Malta': 4, 'Montenegro': 12, 'Netherlands': 4, 'Oman': 58, 'Romania': 84, 'Serbia': 2, 'Slovenia': 4, 'Wales': 9, 'Yugoslavia': 3}"
"FC Wacker Innsbruck","{'Austria': 54, 'Germany': 4, 'Hungary': 6, 'Iran, Islamic Republic of': 1, 'Netherlands': 2, 'Slovenia': 2, 'Yugoslavia': 6}"
"Talleres de Remedios de Escalada","{'Argentina': 12}"
"FC St. Pauli","{'Austria': 2, 'Switzerland': 2, 'Cuba': 2, 'Cyprus': 8, 'Germany': 126, 'United Kingdom': 2, 'Greenland': 6, 'India': 2, 'Iceland': 2, 'Jersey': 3, 'Netherlands': 2, 'New Zealand': 3, 'Rwanda': 4, 'Togo': 4, 'Samoa': 4, 'England': 3, 'America': 15}"
"SV Cuxhaven","{}"
"Liverpool F.C.","{'Australia': 3, 'Belgium': 6, 'Brazil': 2, 'Finland': 2, 'France': 2, 'United Kingdom': 2, 'Ireland': 6, 'Jordan': 6, 'Netherlands': 2, 'Uruguay': 2, 'England': 165, 'Scotland': 60, 'Wales': 3, 'America': 6}"
"Flash Flamingoes","{'Benin': 4, 'Niger': 28, 'Nigeria': 28}"
"Holstein Kiel","{'Bulgaria': 2, 'Czechia': 1, 'Germany': 118, 'Denmark': 2, 'Ghana': 2, 'Greece': 2, 'Hungary': 3, 'Japan': 3, 'Korea, Republic of': 1, 'Lithuania': 2, 'Poland': 2, 'Slovakia': 2, 'America': 3, 'South Korea': 3, 'Turkey': 3}"
"Legon Cities FC","{'Ghana': 38, 'Greece': 2}"
"CFR Turnu Severin","{'Oman': 18, 'Romania': 27}"
"CD Málaga","{'Argentina': 4, 'Brazil': 2, 'Cameroon': 2, 'Colombia': 4, 'Denmark': 4, 'Spain': 44, 'Finland': 2, 'France': 2, 'United Kingdom': 2, 'Gibraltar': 3, 'Croatia': 2, 'Hungary': 6, 'Morocco': 2, 'Paraguay': 4, 'Uruguay': 2, 'Yugoslavia': 3}"
"Calcio Lecco 1912","{'France': 4, 'Italy': 10, 'England': 3}"
"AS Trenčín","{'Greece': 4, 'Latvia': 2, 'Niger': 8, 'Nigeria': 6, 'Netherlands': 2, 'Norway': 2, 'Oman': 4, 'Paraguay': 2, 'Suriname': 2, 'Slovakia': 36}"
"Asociación Deportiva Carmelita","{'Argentina': 4, 'Costa Rica': 60, 'Iran, Islamic Republic of': 1, 'Uruguay': 10}"
"Legia Warsaw II","{'Hungary': 3, 'Luxembourg': 4, 'Poland': 16, 'Serbia': 2, 'Uzbekistan': 2}"
"İstanbulspor A.Ş.","{'Albania': 4, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Iran, Islamic Republic of': 1, 'Turkey': 18}"
"1. FC Köln","{'Brazil': 2, 'Germany': 22, 'Luxembourg': 2, 'Norway': 2, 'England': 3, 'Scotland': 3}"
"Taksim SK","{'Armenia': 8, 'Turkey': 21}"
"Ascoli Calcio","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"ASM Oran","{'Algeria': 40, 'Mali': 2, 'Uruguay': 2}"
"Deportes Iquique","{'Argentina': 4, 'Bolivia, Plurinational State of': 1, 'Chile': 164, 'Peru': 2, 'Uruguay': 6, 'America': 54}"
"NK Borac Zagreb","{}"
"FC Chornomorets Odesa","{'Bulgaria': 2, 'Belarus': 2, 'Cyprus': 2, 'Germany': 12, 'Spain': 2, 'Italy': 4, 'Japan': 3, 'Oman': 10, 'Romania': 3, 'Ukraine': 108}"
"University of Pretoria F.C.","{'Senegal': 4, 'South Africa': 26, 'Zimbabwe': 6}"
"Adana Demirspor","{'Jersey': 9, 'Turkey': 54}"
"Al Wehda FC","{'Georgia': 3, 'Moldova, Republic of': 1, 'Mali': 4, 'Oman': 2, 'Romania': 3, 'Saudi Arabia': 18}"
"Tupi Football Club","{'Brazil': 18, 'America': 3}"
"Marymont Warszawa","{}"
"Fort Lauderdale Strikers (1988-94)","{'America': 90}"
"AS Strasbourg","{'Switzerland': 2, 'Germany': 6, 'France': 12}"
"NK Borovo","{'Croatia': 20, 'Serbia': 6, 'Yugoslavia': 9}"
"Go Ahead Eagles","{'Austria': 2, 'Belgium': 4, 'Switzerland': 4, 'Germany': 4, 'Denmark': 2, 'France': 2, 'Hungary': 3, 'Luxembourg': 2, 'Netherlands': 96, 'Oman': 2, 'Poland': 2, 'Romania': 3, 'Slovakia': 4, 'Sweden': 2, 'England': 6, 'Scotland': 6, 'Wales': 3}"
"Ascoli Calcio 1898 FC","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"FC Basel","{'Switzerland': 30, 'Czechia': 2, 'Germany': 14, 'Jersey': 3, 'Peru': 4, 'Serbia': 2, 'Slovakia': 2, 'England': 6, 'Turkey': 6}"
"Royal Charleroi S.C.","{'Austria': 4, 'Belgium': 56, 'Germany': 8, 'Denmark': 2, 'Finland': 2, 'France': 4, 'Croatia': 12, 'Hungary': 9, 'Israel': 4, 'Morocco': 4, 'Netherlands': 2, 'Oman': 2, 'Peru': 10, 'Poland': 4, 'Romania': 3, 'Serbia': 2, 'Slovakia': 4, 'Ukraine': 3, 'England': 15, 'Scotland': 6, 'Wales': 3, 'Turkey': 3}"
"AFC Bournemouth","{'United Kingdom': 2, 'Jordan': 2, 'England': 24, 'America': 9}"
"C.D. Vasco","{'Venezuela, Bolivarian Republic of': 4}"
"Castle Shannon SC","{}"
"Ascoli Picchio F.C. 1898","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"Raftery","{'Australia': 3, 'Botswana': 2, 'Ireland': 6, 'America': 15}"
"ASM Belfort","{'France': 4, 'Jordan': 2}"
"Dijon FCO","{'France': 22, 'Jordan': 4, 'Mali': 2, 'Oman': 6}"
"FC Sochaux-Montbéliard","{'Argentina': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 2, 'Congo': 2, 'Germany': 2, 'Algeria': 2, 'France': 134, 'Hong Kong': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 2, 'Luxembourg': 2, 'Morocco': 2, 'Monaco': 10, 'Senegal': 2, 'Uruguay': 2, 'Yugoslavia': 9}"
"Tonnerre Yaoundé","{'Cameroon': 22}"
"A.S. Bari","{'Andorra': 4, 'Brazil': 2, 'France': 28, 'Italy': 14, 'Malaysia': 6}"
"USM Bel Abbès","{'Algeria': 36, 'France': 2}"
"Jura Sud Foot","{'France': 22, 'Iran, Islamic Republic of': 3, 'Jordan': 4}"
"Atlético Mineiro","{'Argentina': 30, 'Brazil': 374, 'Chile': 2, 'China': 2, 'Colombia': 4, 'Ecuador': 2, 'France': 4, 'Iran, Islamic Republic of': 3, 'Oman': 4, 'Paraguay': 2, 'Chad': 2, 'Ukraine': 3, 'Uruguay': 4, 'America': 96, 'Yugoslavia': 6}"
"Bologna FC 1909","{'Austria': 4, 'France': 12, 'Italy': 22, 'Luxembourg': 2, 'Oman': 2, 'America': 6}"
"Pelita Jaya","{'Indonesia': 134, 'Mali': 2, "Korea, Democratic People's Republic of": 1, 'Singapore': 10, 'North Korea': 3}"
"Apollon Smyrnis F.C.","{'Angola': 4, 'Albania': 80, 'Argentina': 48, 'Armenia': 2, 'Australia': 3, 'Austria': 8, 'Belgium': 2, 'Burkina Faso': 6, 'Bulgaria': 12, 'Belarus': 4, 'Brazil': 2, 'Switzerland': 2, 'Cameroon': 8, 'Congo': 2, 'Colombia': 2, 'Cyprus': 2, 'Czechia': 1, 'Germany': 20, 'Egypt': 4, 'Spain': 16, 'Finland': 2, 'France': 6, 'Georgia': 6, 'Ghana': 2, 'Guinea': 4, 'Equatorial Guinea': 2, 'Greece': 296, 'Croatia': 2, 'Hungary': 3, 'Indonesia': 2, 'Ireland': 9, 'Iran, Islamic Republic of': 2, 'Israel': 4, 'Italy': 6, 'Jersey': 3, 'Kazakhstan': 4, 'Kenya': 4, "Lao People's Democratic Republic": 2, 'Lebanon': 4, 'Liberia': 4, 'Lithuania': 4, 'Morocco': 8, 'North Macedonia': 2, 'Mali': 2, 'Malta': 4, 'Montenegro': 3, 'Niger': 14, 'Nigeria': 14, 'Nicaragua': 4, 'Netherlands': 10, 'Norway': 2, 'Oman': 10, 'Poland': 14, 'Portugal': 12, 'Romania': 3, 'Sudan': 2, 'Senegal': 4, 'Sierra Leone': 6, 'Serbia': 44, 'Suriname': 6, 'Slovakia': 2, 'Slovenia': 4, 'Sweden': 12, 'Togo': 4, 'Tunisia': 2, 'Ukraine': 9, 'Uruguay': 2, 'United States': 6, 'Uzbekistan': 4, 'England': 9, 'Northern Ireland': 3, 'Yugoslavia': 3, 'Turkey': 6}"
"Seongnam FC","{'Australia': 3, 'Brazil': 4, 'France': 2, 'Iran, Islamic Republic of': 3, 'Korea, Republic of': 50, 'Oman': 2, 'Saudi Arabia': 2, 'South Korea': 150}"
"Santiago Wanderers","{'Argentina': 2, 'Chile': 158, 'Colombia': 2, 'Ecuador': 2, 'Ireland': 6, 'Peru': 4, 'Uruguay': 6, 'England': 3, 'America': 33}"
"San Diego Sockers (NASL)","{'Canada': 3, 'Ireland': 3, 'Jersey': 3, 'United States': 4, 'England': 3, 'Northern Ireland': 3, 'America': 81}"
"Venezia F.C.","{'France': 26, 'Iran, Islamic Republic of': 2, 'Italy': 34, 'Peru': 8, 'Senegal': 2, 'America': 12}"
"Olt Scorniceşti","{'Oman': 44, 'Romania': 66}"
"Bergantiños B","{}"
"Girona FC","{'Australia': 3, 'Spain': 92, 'Hungary': 3, 'India': 4, 'Iran, Islamic Republic of': 6, 'Palau': 2, 'Uruguay': 2}"
"Al-Gharafa Sports Club","{'United Arab Emirates': 12, 'Australia': 6, 'Bahrain': 8, 'Brazil': 12, 'Costa Rica': 4, 'Egypt': 8, 'France': 4, 'Iran, Islamic Republic of': 4, 'Iraq': 8, 'Jordan': 2, 'Kuwait': 8, 'Morocco': 4, 'Mexico': 4, 'Netherlands': 4, 'Oman': 4, 'Portugal': 2, 'Qatar': 188, 'Saudi Arabia': 12, 'Sudan': 2, 'Slovakia': 4, 'Syrian Arab Republic': 1, 'Uzbekistan': 2}"
"Kilikia F.C.","{'Armenia': 50}"
"Manchester United F.C.","{'Argentina': 2, 'Germany': 2, 'France': 2, 'United Kingdom': 4, 'Gibraltar': 6, 'Jersey': 6, 'Jordan': 6, 'Japan': 3, 'Qatar': 2, 'Singapore': 10, 'Chad': 4, 'England': 48, 'America': 18}"
"RC Lens","{'Azerbaijan': 2, 'Brazil': 2, 'Cameroon': 2, 'Germany': 2, 'Spain': 2, 'France': 70, 'Netherlands': 2, 'Chad': 2}"
"FC Biel-Bienne","{'Switzerland': 12}"
"Gillingham F.C.","{'France': 2, 'United Kingdom': 2, 'England': 39, 'Scotland': 3}"
"Club Atlético San Isidro","{'Argentina': 48, 'Jersey': 6, 'Oman': 2, 'Uruguay': 2}"
"Earlestown F.C.","{'United Kingdom': 4, 'Ireland': 3, 'Oman': 2, 'England': 45, 'Wales': 6}"
"Vatev Beloslav","{}"
"Polonia Warsaw","{'Albania': 2, 'Austria': 2, 'Azerbaijan': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 2, 'Chile': 2, 'Czechia': 1, 'Germany': 2, 'Spain': 2, 'Estonia': 2, 'France': 2, 'Georgia': 6, 'Ghana': 2, 'Guatemala': 2, 'Croatia': 2, 'Israel': 2, 'Lithuania': 2, 'North Macedonia': 2, 'Niger': 12, 'Nigeria': 8, 'Oman': 6, 'Poland': 62, 'Serbia': 2, 'Slovakia': 2}"
"Vefa S.K.","{'Austria': 6, 'Belgium': 4, 'Bulgaria': 6, 'Switzerland': 14, 'China': 4, 'Egypt': 8, 'Spain': 6, 'Greece': 4, 'Iran, Islamic Republic of': 3, 'Israel': 4, 'Italy': 2, 'Oman': 10, 'Poland': 12, 'Romania': 12, 'Sweden': 2, 'Yugoslavia': 15, 'Turkey': 120}"
"C.D. Atlético Yucatán","{'Argentina': 8, 'Iran, Islamic Republic of': 2, 'Mexico': 28, 'El Salvador': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1}"
"AEL Kalloni F.C.","{'Georgia': 3, 'Greece': 68}"
"Toronto FC","{'Brazil': 4, 'Canada': 78, 'Chile': 6, 'Spain': 2, 'Honduras': 2, 'Italy': 6, 'Jersey': 27, 'Jordan': 2, 'Japan': 3, 'Mexico': 26, 'Nicaragua': 2, 'Netherlands': 2, 'New Zealand': 3, 'Oman': 4, 'Panama': 6, 'Puerto Rico': 21, 'Saudi Arabia': 2, 'El Salvador': 2, 'Chad': 6, 'United States': 30, 'England': 21, 'Scotland': 6, 'America': 78}"
"Rot Weiss Ahlen II","{'Germany': 8}"
"Shrewsbury Town F.C.","{'United Kingdom': 2, 'Grenada': 36, 'Ireland': 6, 'Italy': 2, 'Jordan': 4, 'Kenya': 6, 'England': 51, 'Scotland': 6, 'Wales': 15, 'Northern Ireland': 6, 'America': 3}"
"Lokomotiv Moscow","{'Albania': 2, 'Armenia': 12, 'Azerbaijan': 2, 'Bosnia and Herzegovina': 6, 'Belarus': 24, 'Brazil': 2, 'Switzerland': 4, 'Cameroon': 2, 'Congo': 2, 'Costa Rica': 2, 'Czechia': 2, 'Germany': 6, 'Ecuador': 2, 'Estonia': 2, 'Finland': 2, 'France': 6, 'Georgia': 30, 'Ghana': 6, 'Guinea': 2, 'Croatia': 14, 'Iran, Islamic Republic of': 9, 'Italy': 4, 'Kazakhstan': 4, 'Kyrgyzstan': 2, 'Lithuania': 12, 'Morocco': 4, 'Monaco': 4, 'Moldova, Republic of': 1, 'Mali': 2, 'Montenegro': 18, 'Malawi': 2, 'Niger': 14, 'Nigeria': 14, 'Oman': 8, 'Peru': 4, 'Poland': 4, 'Portugal': 14, 'Romania': 3, 'Russian Federation': 3, 'Senegal': 10, 'Serbia': 22, 'Slovakia': 4, 'Slovenia': 2, 'Tajikistan': 24, 'Tunisia': 2, 'Ukraine': 18, 'Uzbekistan': 24, 'South Africa': 4, 'Scotland': 3, 'America': 6}"
"FC Avangard Kolomna","{}"
"L.D.U. Portoviejo","{'Argentina': 10, 'Bolivia, Plurinational State of': 1, 'Ecuador': 64, 'Uruguay': 2}"
"Club Deportivo Universidad César Vallejo","{'Argentina': 2, 'Colombia': 2, 'Peru': 114, 'Uruguay': 6, 'America': 144}"
"Kleinwiesendorf","{}"
"C.D. Cuautla","{'Mexico': 10}"
"Spartak Hradec Králové","{'Austria': 2, 'Czechia': 5, 'Hungary': 3, 'Slovakia': 4}"
"Sportivo Iteño","{'Paraguay': 26}"
"Bradford City A.F.C.","{'Brazil': 6, 'Germany': 2, 'United Kingdom': 2, 'Ireland': 12, 'Jamaica': 3, 'Jordan': 4, 'Lithuania': 2, 'Netherlands': 2, 'England': 231, 'Scotland': 57, 'Wales': 21, 'Northern Ireland': 3, 'America': 9}"
"FC Bunyodkor","{'Australia': 3, 'Brazil': 8, 'Cameroon': 6, 'Spain': 2, 'Lebanon': 4, 'Moldova, Republic of': 1, 'Mali': 2, 'Uzbekistan': 160, 'America': 3}"
"Strojárne Martin","{}"
"Reggina Calcio","{'France': 22, 'Italy': 12, 'Peru': 4}"
"S.S.C. Napoli","{'Argentina': 16, 'Austria': 8, 'Bulgaria': 4, 'Brazil': 10, 'China': 2, 'Czechia': 1, 'Spain': 2, 'France': 20, 'Hungary': 9, 'Italy': 230, 'Jersey': 12, 'Japan': 6, 'Niger': 2, 'Nigeria': 2, 'Oman': 4, 'Peru': 4, 'Paraguay': 4, 'Chad': 2, 'Uruguay': 2, 'England': 3, 'America': 3, 'Yugoslavia': 6}"
"Malmö FF","{'Austria': 4, 'Denmark': 4, 'Spain': 6, 'Finland': 2, 'France': 4, 'Hungary': 3, 'Italy': 4, 'Monaco': 8, 'Mali': 2, 'Norway': 2, 'Peru': 2, 'Sweden': 82, 'England': 21, 'Wales': 3}"
"Servette FC","{'Austria': 16, 'Belgium': 4, 'Switzerland': 98, 'Germany': 8, 'France': 18, 'Hungary': 15, 'Iran, Islamic Republic of': 2, 'Italy': 2, 'Monaco': 4, 'Mali': 2, 'Netherlands': 2, 'Oman': 6, 'Portugal': 8, 'Romania': 6, 'Serbia': 4, 'England': 12}"
"SK České Budějovice","{'Austria': 2, 'Czechia': 6, 'Hungary': 3, 'Iran, Islamic Republic of': 1, 'Oman': 4, 'Slovakia': 2}"
"Montpellier Hérault Sport Club","{'Brazil': 2, 'Colombia': 2, 'Algeria': 4, 'France': 38, 'Jordan': 2, 'Senegal': 4}"
"Abha Club","{'Algeria': 2, 'Saudi Arabia': 18}"
"Bloemfontein Celtic F.C.","{'Germany': 2, 'France': 2, 'Lesotho': 2, 'Portugal': 2, 'South Africa': 54}"
"New Bedford Whalers#New Bedford Whalers III","{'Canada': 3, 'United States': 6, 'England': 39, 'America': 141}"
"Aarhus Gymnastik Forening","{'Austria': 2, 'Germany': 4, 'Denmark': 96, 'France': 2, 'Hungary': 9, 'Sweden': 2, 'England': 3}"
"Bakersfield Brigade","{'United States': 2, 'America': 9}"
"Club Atlético Vélez Sarsfield","{'Argentina': 156, 'Brazil': 8, 'Chile': 12, 'Colombia': 4, 'Costa Rica': 2, 'Cuba': 2, 'Italy': 2, 'Jersey': 12, 'Japan': 3, 'Mexico': 2, 'Peru': 12, 'Paraguay': 4, 'Uruguay': 14, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 6, 'America': 111}"
"ASPV Strasbourg","{'France': 38}"
"V-Varen Nagasaki","{'Japan': 99}"
"Pohang Steelers","{'India': 10, 'Japan': 3, 'Korea, Republic of': 13, 'Qatar': 2, 'Thailand': 2, 'South Korea': 39}"
"Troyes AC","{'Germany': 2, 'Spain': 2, 'France': 28, 'Georgia': 9, 'Ireland': 3, 'Monaco': 6, 'Netherlands': 2, 'Slovakia': 4, 'Sweden': 2, 'England': 3, 'Northern Ireland': 3, 'Yugoslavia': 3}"
"FC Farul Constanța","{'Albania': 2, 'Armenia': 4, 'Bulgaria': 16, 'Belarus': 6, 'Congo': 2, 'Estonia': 4, 'Finland': 4, 'France': 10, 'Greece': 2, 'India': 8, 'Kuwait': 2, 'Lebanon': 2, 'Liberia': 2, 'Moldova, Republic of': 3, 'North Macedonia': 2, 'Montenegro': 9, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 6, 'Oman': 90, 'Poland': 4, 'Romania': 129, 'Serbia': 6, 'Syrian Arab Republic': 1}"
"Unión de Santa Fe","{'Argentina': 28, 'Bolivia, Plurinational State of': 1, 'Iran, Islamic Republic of': 1, 'Mexico': 2, 'Montenegro': 3, 'Uruguay': 2}"
"Mito HollyHock","{'Jersey': 6, 'Japan': 63}"
"Gyeongju Korea Hydro & Nuclear Power FC","{'Korea, Republic of': 2, 'South Korea': 6}"
"Buffalo Stallions (indoor)","{}"
"SK Nusle","{'Austria': 2, 'Czechia': 4, 'Hungary': 3}"
"Bellmare Hiratsuka","{'Brazil': 2, 'Iraq': 2, 'Japan': 111, 'Peru': 4}"
"Atlético Buenaventura","{}"
"AC Monza","{'France': 18, 'Croatia': 2, 'Italy': 48, 'Mali': 2, 'Oman': 4, 'Peru': 14, 'Slovakia': 8, 'America': 6, 'Yugoslavia': 6}"
"Lierse SK","{'Belgium': 74, 'Germany': 2, 'Egypt': 8, 'France': 4, 'Hungary': 6, 'Netherlands': 14, 'Norway': 4, 'Slovenia': 2, 'England': 6, 'Yugoslavia': 3}"
"Genoa CFC","{'Argentina': 2, 'Switzerland': 4, 'Czechia': 1, 'Germany': 2, 'Denmark': 2, 'Spain': 4, 'France': 16, 'India': 6, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Italy': 150, 'Japan': 6, 'Mali': 2, 'Netherlands': 2, 'Oman': 16, 'Romania': 6, 'Uruguay': 6, 'England': 21}"
"Stade Brest 29","{'Argentina': 4, 'Brazil': 2, 'France': 54, 'Jordan': 2, 'Monaco': 4, 'Mali': 2, 'Paraguay': 4, 'England': 3, 'America': 6, 'Yugoslavia': 3}"
"GAIS","{'Sweden': 4, 'Tunisia': 2}"
"PFC Slavia Sofia","{'Bulgaria': 138, 'Spain': 2, 'France': 2, 'Croatia': 2, 'Serbia': 4}"
"SK Slovan HAC","{'Austria': 36, 'Hungary': 3}"
"Neuchâtel Xamax","{'Aruba': 3, 'Argentina': 2, 'Austria': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 2, 'Central African Republic': 3, 'Switzerland': 44, 'Cameroon': 2, 'Germany': 8, 'Egypt': 2, 'Spain': 6, 'France': 16, 'Croatia': 2, 'Hungary': 3, 'Ireland': 6, 'Italy': 6, 'Liechtenstein': 2, 'Niger': 2, 'Nigeria': 2, 'Philippines': 2, 'Portugal': 2, 'Saudi Arabia': 2, 'Senegal': 2, 'Sierra Leone': 2, 'Slovakia': 4, 'England': 3, 'Yugoslavia': 12}"
